"folio","edad","sexo","educacion","cse","n_personas","macrozona","prob_gastar_comida_fuera","gasto_cond_comida_fuera","gasto_esp_comida_fuera"
108180601,51,"2","5",NA,4,NA,NA,89725.4335691707,NA
108180701,74,"1","9",NA,4,NA,NA,89725.4335691707,NA
108700101,40,"2","11",NA,2,NA,NA,89725.4335691707,NA
108700201,41,"2","11",NA,2,NA,NA,89725.4335691707,NA
108700401,32,"1","11",NA,1,NA,NA,89725.4335691707,NA
108700601,61,"1","12",NA,2,NA,NA,89725.4335691707,NA
108700701,35,"2","9",NA,4,NA,NA,89725.4335691707,NA
108810101,54,"2","5","2",3,NA,NA,89725.4335691707,NA
108810301,38,"2",NA,"2",3,NA,NA,89725.4335691707,NA
108810401,62,"2",NA,"2",2,NA,NA,89725.4335691707,NA
108810501,68,"2","1","2",2,NA,NA,89725.4335691707,NA
108810601,39,"2","6","2",1,NA,NA,89725.4335691707,NA
108810701,39,"2","5","2",3,NA,NA,89725.4335691707,NA
108810801,65,"2",NA,"2",2,NA,NA,89725.4335691707,NA
108820101,29,"2","5",NA,3,NA,NA,89725.4335691707,NA
108820201,70,"1","1",NA,6,NA,NA,89725.4335691707,NA
108820301,80,"2",NA,NA,3,NA,NA,89725.4335691707,NA
108820401,73,"1","1",NA,2,NA,NA,89725.4335691707,NA
108820601,19,"1","5",NA,2,NA,NA,89725.4335691707,NA
108820701,32,"1","5",NA,1,NA,NA,89725.4335691707,NA
108820801,54,"1",NA,NA,3,NA,NA,89725.4335691707,NA
108830201,55,"2","8","2",1,NA,NA,89725.4335691707,NA
108830601,68,"1","3","2",4,NA,NA,89725.4335691707,NA
109060301,59,"2","5",NA,3,NA,NA,89725.4335691707,NA
109250601,61,"1","4",NA,4,NA,NA,89725.4335691707,NA
109270401,59,"2","7",NA,2,NA,NA,89725.4335691707,NA
109270901,47,"2","3",NA,3,NA,NA,89725.4335691707,NA
109271001,66,"1","1",NA,1,NA,NA,89725.4335691707,NA
109440301,29,"1","11",NA,1,NA,NA,89725.4335691707,NA
109440701,24,"2","9",NA,1,NA,NA,89725.4335691707,NA
109440801,33,"2","11",NA,1,NA,NA,89725.4335691707,NA
109510201,54,"1","6",NA,5,NA,NA,89725.4335691707,NA
109510301,51,"1","6",NA,3,NA,NA,89725.4335691707,NA
109510501,24,"2","7",NA,4,NA,NA,89725.4335691707,NA
109510701,69,"1","9",NA,4,NA,NA,89725.4335691707,NA
109510801,36,"1","8",NA,5,NA,NA,89725.4335691707,NA
109570301,36,"1","11",NA,4,NA,NA,89725.4335691707,NA
109570401,35,"1","11",NA,1,NA,NA,89725.4335691707,NA
109570801,93,"2","11",NA,2,NA,NA,89725.4335691707,NA
109630201,71,"1","3","1",2,NA,NA,89725.4335691707,NA
