"geocodigo","oferta_n","oferta_restaurant","oferta_fastfood","oferta_cafe","pob_zona","oferta_x1000hab"
"13108071001",21,1,2,2,3478,6.03795284646348
"13108021005",2,1,1,0,3263,0.612932883849219
"13108021003",0,0,0,0,3723,0
"13108011002",0,0,0,0,2604,0
"13108011003",17,2,0,1,5789,2.93660390395578
"13108071002",10,1,6,3,1612,6.20347394540943
"13124021001",0,0,0,0,7042,0
"13124021003",2,2,0,0,4495,0.444938820912125
"13124041005",0,0,0,0,2122,0
"13124041001",1,1,0,0,3821,0.261711593823606
"13124101002",1,1,0,0,2400,0.416666666666667
"13124101003",2,1,1,0,3508,0.570125427594071
"13124101001",2,0,2,0,4475,0.446927374301676
"13124041004",1,1,0,0,4159,0.240442414041837
"13124021006",1,1,0,0,5452,0.183418928833456
"13124031002",3,2,1,0,3860,0.77720207253886
"13124031004",0,0,0,0,1820,0
"13124031001",1,1,0,0,2310,0.432900432900433
"13124091003",1,1,0,0,3332,0.300120048019208
"13124051004",1,1,0,0,1846,0.541711809317443
"13124051003",4,1,3,0,4469,0.895054822107854
"13124021004",1,1,0,0,5089,0.196502259775987
"13124051002",0,0,0,0,1306,0
"13124011001",3,3,0,0,2029,1.47856086742238
"13124051001",0,0,0,0,3973,0
"13124031003",8,4,0,0,2260,3.53982300884956
"13124091002",1,1,0,0,2801,0.357015351660121
"13124091001",0,0,0,0,6717,0
"13124011003",0,0,0,0,3176,0
"13124091005",0,0,0,0,2461,0
"13124071001",2,1,1,0,5903,0.338810774182619
"13124091004",0,0,0,0,3255,0
"13128031003",0,0,0,0,2498,0
"13124061003",5,1,0,0,2460,2.03252032520325
"13124061004",6,1,1,0,4441,1.35104706147264
"13124071003",0,0,0,0,1955,0
"13124061005",1,0,1,0,2554,0.391542678151919
"13124061006",2,0,2,0,3246,0.616142945163278
"13124061002",27,5,0,0,5571,4.84652665589661
"13124061018",0,0,0,0,4940,0
